他感冒了。|He caught a cold.|tā gǎn mào le。
那人太阳穴上贴了一块膏药，看上去像个卡通人物。|The man looks like a cartoon character with a plaster on his temple.|nà rén tài yáng xué shàng tiē le yī kuài gāo yào， kàn shàng qù xiàng gè kǎ tōng rén wù。
那架喷气式飞机低飞掠过房顶, 隆隆声把大家吓了一跳.|The jet zoomed low over the houses, frightening everyone.|nà jià pèn qì shì fēi jī dī fēi lu:è guò fáng dǐng,  lóng lóng shēng bǎ dà jiā xià le yī tiào.
这些优异的成绩给我们全体工作人员带来了莫大的光荣.|These excellent results reflect great credit on all our staff.|zhè xie yōu yì de chéng jī jǐ wǒ men quán tǐ gōng zuò rén yuán dài lái le mò dà de guāng róng.
庄园主宅第是一栋环抱在美丽的花园中的大理石房子。|The manor is a marble house surrounded by a beautiful garden.|zhuāng yuán zhǔ zhái dì shì yī dòng huán bào zài měi lì de huā yuán zhòng dì dà lǐ shí fáng zi。
这块地毯已经脏得辨认不出原来的颜色了.|The carpet was badly stained, to such an extent that (ie so much that) you couldn't tell its original colour.|zhè kuài dì tǎn yǐ jīng zàng de biàn rèn bù chū yuán lái de yán sè le.
各反对党指责修建新机场是浪费纳税人的金钱。|The opposition parties have condemned the new airport as a waste of taxpayers' money.|gè fǎn duì dǎng zhǐ zé xiū jiàn xīn jī chǎng shì làng fèi nà shuì rén de jīn qián。
开出鲜艳花朵的爬藤植物瀑布般悬挂在花园墙上。|Climbing plants with their bright flowers hung in cascades over the garden wall.|kāi chū xiān yàn huā duǒ de pá téng zhí wù pù bù bān xuán guà zài huā yuán qiáng shàng。
美国的公共教育史起源于早期拓荒者的社会。|The history of public education in the United States dates from the society of the early pioneers.|Měi guó de gōng gòng jiào yù shǐ qǐ yuán yú zǎo qī tuò huāng zhě de shè huì。
工会运动旨在争取更高的工资和更好的工作条件。|The Trade Union Movement works to obtain higher wages and better conditions.|gōng huì yùn dòng zhǐ zài zhēng qǔ gèng gāo de gōng zī huò gèng hǎo de gōng zuò tiáo jiàn。
如果你们不是很熟的话，问别人薪水多少是很不礼貌的。|It's bad manners to ask other's salary if you are not very familiar.|rú guǒ nǐ men bú shì hěn shú de huà， wèn bié rén xīn shuǐ duō shao shì hěn bù lǐ mào de。
热天穿棉布之类有渗透性的材料制成的衣服最为适宜。|In hot weather cloths made of a porous material like cotton are best.|rè tiān chuān mián bù zhī lèi yǒu shèn tòu xìng de cái liào zhì chéng de yī fu zuì wéi shì yí。
美利坚合众国保证合众国各州实行共和政体。|The United States shall guarantee to every state in this union a republican form of government.|měi lì jiān hé zhòng guó bǎo zhèng hé zhòng guó gè zhōu shí xíng gòng hé zhèng tǐ。
吉姆在物理考试中作弊却逃避了惩罚, 麦克则受到责备。|Jim got away with cheating in the physics test, while Mike was scolded.|jí mǔ zài wù lǐ kǎo shì zhòng zuò bì què táo bì le chéng fá,  mài kè zé shòu dào zé bèi。
他们这些颠覆性的思想是对我们年轻人的精神污染。|They are contaminating the minds of our young people with these subversive ideas.|tā men zhè xie diān fù xìng de sī xiǎng shì duì wǒ men nián qīng rén de jīng shén wū rǎn。
现在场景转到仓库，行凶者正埋伏在那里伺机行动。|And now the scene shifts to the warehouse, where the murderer is lying in wait.|xiàn zài chǎng jǐng zhuàn dào cāng kù， xìng xiōng zhě zhèng mái fú zài nà li sì jī xíng dòng。
财务董事派人带话说，她因不能出席会议而向大家道歉。|The Finance Director sends her apology and is unable to attend the meeting.|cái wù dǒng shì pài rén dài huà shuō， tā yīn bù néng chū xí huì yì ér xiàng dà jiā dào qiàn。
我不知道他着了什么魔，在那条热闹的街上把车子开得这么快。|I don't know what possessed him to drive so fast down that busy street.|wǒ bù zhī dào tā zhuó le shén me mó， zài nà tiáo rè nao de jiē shàng bǎ jū zi kāi de zhè me kuài。
我们赢得了合同，但是却经过了多次不屈不挠的谈判才达到目的。|We won the contract but only through a lot of tough negotiating.|wǒ men yíng dé le hé tong， dàn shì què jīng guò le duō cì bù qū bù náo de tán pàn cái dá dào mù dì。
这种炎热的天气在夜晚尚能忍受，但白天就令人感到呼吸困难。|The heat was tolerable at night but suffocating during the day.|zhè zhǒng yán rè de tiān qì zài yè wǎn shàng néng rěn shòu， dàn bái tiān jiù lìng rén gǎn dào hū xī kùn nan。
那是我以前最喜欢的饭馆，但近来烹饪水平已大不如前了。|It used to be my favourite restaurant but the standard of cooking has fallen off recently.|nà shì wǒ yǐ qián zuì xǐ huan de fàn guǎn， dàn jìn lái pēng rèn shuǐ píng yǐ dà bù rú qián le。
小手鼓一种用手敲击的鼓，连结在一起声调和谐的一对中的一个|One of a pair of connected tuned drums that are played by beating with the hands.|xiǎo shǒu gǔ yī zhòng yòng shǒu qiāo jī de gǔ， lián jié zài yī qǐ shēng diào hé xié de yī duì zhòng dì yī gè
闪光装置如广告宣传告示上的一种自动点燃或熄灭电灯的装置|A device that automatically switches an electric lamp off and on, as in a commercial display sign.|shǎn guāng zhuāng zhì rú guǎng gào xuān chuán gào shì shàng de yī zhòng zì dòng diǎn rán huò xī miè diàn dēng de zhuāng zhì
我真希望我们能够看到更多新的电视节目，而不是翻来覆去的那几个老节目。|I wish we could see more new programmes on television, not repeats all the time.|wǒ zhēn xī wàng wǒ men néng gòu kàn dào gèng duō xīn de diàn shì jié mù， ér bú shì fān lái fù qù de nà jǐ ge lǎo jié mù。
有人指定拉姆奇夫人把钱装在一只纸盒子里，并把纸板盒放在她的门外边。|Mrs Ramsay was instructed to place the money in a cardboard box and to leave it outside her door.|yǒu rén zhǐ dìng lā mǔ qí fū ren bǎ qián zhuāng zài yī zhǐ zhǐ hé zi lǐ， bìng bǎ zhǐ bǎn hé fàng zài tā de mén wài bian。
我已写一封抱怨信给国家铁路部门，总得有人要支持提高服务标准。|I've written a letter of complaint to State Rail; somebody has got to carry the banner for better standards of service.|wǒ yǐ xiě yī fēng bào yuàn xìn jǐ guó jiā tiě lù bù mén， zǒng děi yǒu rén yào zhī chí tí gāo fú wù biāo zhǔn。
规范语法阐述的是该派语法学家认为的某语言的口语或书面语的标准形式.|A normative grammar of a language describes how its authors think the language should be spoken or written.|guī fàn yǔ fǎ chǎn shù de shì gāi pài yǔ fǎ xué jiā rèn wéi de mǒu yǔ yán de kǒu yǔ huò shū miàn yǔ de biāo zhǔn xíng shì.
我的未完成的过去，从后边缠绕到我身上，使我难于死去。请从它那里释放了我吧。|Release me from my unfulfilled past clinging to me from behind making death difficult.|wǒ de wèi wán chéng de guò qu， zòng hòu biān chán rǎo dào wǒ shēn shàng， shǐ wǒ nàn yú sǐ qù。 qǐng zòng tā nà li shì fàng le wǒ ba。
这世上有些人把整个时间花费于搜寻正义，却腾不出时间来付诸实践。|Some folks in this world spend their whole time hunting after righteousness and can not find any time to practice it.|zhè shì shàng yǒu xiē rén bǎ zhěng gè shí jiān huā fèi yú sōu xún zhèng yì， què téng bù chū shí jiān lái fù zhū shí jiàn。
你疯了吗？|Are you insane?|nǐ fēng le ma？
现在再见了!|Bye for now!|xiàn zài zài jiàn le!
你住在哪儿？|Where do you live?|nǐ zhù zài nǎ r？
多好的主意！|What a swell idea!|duō hǎo de zhǔ yi！
你太过分了！|You've gone too far!|nǐ tài guò fèn le！
集体用膳食堂|A mess hall.|jí tǐ yòng shàn shí táng
接着怎么样了?|What happened then?|jiē zhe zěn me yàng le?
你想喝茶吗?|Would you like a cup of tea?|nǐ xiǎng hè chá ma?
你在说什么?|What are you talking about?|nǐ zài shuō shén me?
那儿怎么样？|What is it like there?|nà r zěn me yàng？
这里谁负责？|Who is in charge here?|zhè lǐ shéi fù zé？
你打算怎么办?|What're you going to do?|nǐ dǎ suàn zěn me bàn?
我说清楚了吗?|Am I making myself clear?|wǒ shuō qīng chu le ma?
你做什么工作？|What's your job?|nǐ zuò shén me gōng zuò？
我当然不答应!|I certainly will not!|wǒ dāng rán bù dā ying!
猪已喂过了吗?|Have the pigs been fed yet?|zhū yǐ wèi guò le ma?
你懂挪威语吗？|Do you know Norwegian?|nǐ dǒng nuó wēi yù ma？
多可爱的婴儿啊!|Isn't that baby a dear?|duō kě ài de yīng ér a!
你打算做什么?|What do you plan to do?|nǐ dǎ suàn zuò shén me?
这是谁的钢笔？|Whose pen is this?|zhè shì shéi de gāng bǐ？
你要橘子水吗?|Would you like some orange?|nǐ yào jú zi shuǐ ma?
我看上去怎么样？|How do I look?|wǒ kàn shàng qù zěn me yàng？
我才不信你呢!|I can't believe a word you say.|wǒ cái bù xìn nǐ ne!
多么恶劣的天气!|What beastly weather!|duō me è liè de tiān qì!
我能试穿一下吗？|May I try it on?|wǒ néng shì chuān yī xià ma？
他下班回家了吗？|Is he home from work?|tā xià bān huí jiā le ma？
我看上去怎么样？|How do I look?|wǒ kàn shàng qù zěn me yàng？
喔！多累的一天！|Oh, what a tiring day!|ō！ duō lèi de yī tiān！
那个掸子很脏。|That duster is very dirty.|nèi gè dǎn zi hěn zàng。
他遍体鳞伤。|He was black and blue all over.|tā biàn tǐ lín shāng。
这门闩不牢。|This door won't latch properly.|zhè mén shuān bù láo。
你的约会怎么样？|How was your date?|nǐ de yuē huì zěn me yàng？
请问尊姓大名?|Would you give me your name?|qǐng wèn zūn xìng Dà míng?
你觉得怎么样？|What do you think of it?|nǐ jué de zěn me yàng？
你赚了多少钱？|How much money did you make?|nǐ zuàn le duō shao qián？
你选哪本书？|Which one of the books is your pick?|nǐ xuǎn něi běn shū？
你喜欢香港吗？|How do you like Hong Kong?|nǐ xǐ huan xiāng gǎng ma？
祝您新年快乐！|A happy new year to you!|zhù nín xīn nián kuài lè！
我最讨厌累活儿!|I'm allergic to hard work!|wǒ zuì tǎo yàn lèi huór!
明天上午行吗?|Is tomorrow morning any good?|míng tiān shàng wǔ xìng ma?
你赚了多少钱？|How much money did you make?|nǐ zuàn le duō shao qián？
你看我该怎么办?|What do you think I should do?|nǐ kàn wǒ gāi zěn me bàn?
你认为你能来吗？|Do you think you can come?|nǐ rèn wéi nǐ néng lái ma？
请问我搞对了吗?|Have I got it right, please?|qǐng wèn wǒ gǎo duì le ma?
对不起；请原谅。|I beg your pardon.|duì bù qǐ； qǐng yuán liàng。
他是个十足的怪人!|He's quite an individual!|tā shì gè shí zú de guài rén!
星期天对你合适吗?|Will Sunday suit you?|xīng qī tiān duì nǐ hé shì ma?
请马上离开这儿!|Please leave here immediately!|qǐng mǎ shàng lí kāi zhèr!
出去吃晚餐如何？|How about going out for dinner?|chū qù jí wǎn cān rú hé？
鱼通过鳃呼吸。|A fish breathes through its gills.|yú tōng guò sāi hū xī。
她拍落几绺头发.|She patted down a few wisps of hair.|tā pāi luò jǐ liǔ tóu fa.
你们有空房间吗？|Do you have a room available?|nǐ men yǒu kòng fáng jiān ma？
你能帮我一个忙吗？|Would you do me a favor?|nǐ néng bāng wǒ yī gè máng ma？
我不愿再见到你！|I don't want to see your face!|wǒ bù yuàn zài jiàn dào nǐ！
谁迟到谁倒霉！|Woe betide anyone who arrives late!|shéi chí dào shéi dǎo méi！
你去哪里度假了？|Where did you go for your vacation?|nǐ qù nǎ li dù jià le？
糟糕!我把伞丢了。|Damnation! I've lost my umbrella.|zāo gāo! wǒ bǎ sǎn diū le。
出国要多少钱？|How much does it cost to go abroad?|chū guó yào duō shao qián？
祝大家新年快乐!|A Happy New Year to one and all!|zhù dà jiā xīn nián kuài lè!
春天嫩芽初绽。|The new buds appear in the spring.|chūn tiān nèn yá chū zhàn。
你的牛排要几分熟？|How do you want your steak?|nǐ de niú pái yào jǐ fèn shú？
你会说什么语言？|What languages can you speak?|nǐ kuài shuō shén me yǔ yán？
你有一件黑夹克吗？|Do you have a black jacket?|nǐ yǒu yī jiàn hēi jiā kè ma？
你要出来散散步吗?|Are you coming out for a walk?|nǐ yào chū lai sàn sàn bù ma?
你喜欢姜汁啤酒吗？|Do you like ginger beer?|nǐ xǐ huan jiāng zhī pí jiǔ ma？
你真不应该那样做!|You shouldn't have done that!|nǐ zhēn bù yīng gāi nà yàng zuò!
你真不应该那样做!|You shouldn't have done that!|nǐ zhēn bù yīng gāi nà yàng zuò!
海鸥在大海上飞翔。|Gull flies over the sea.|hǎi ōu zài dà hǎi shàng fēi xiáng。
你喜欢流行音乐吗？|Do you like popular music?|nǐ xǐ huan liú xíng yīn yuè ma？
池塘里有些芦苇。|There are some reeds in the pond.|chí táng lǐ yǒu xiē lú wěi。
久旱使青草枯萎。|The long drought scorched the grass.|jiǔ hàn shǐ qīng cǎo kū wěi。
请把账单给我好吗？|Could I have the bill, please?|qǐng bǎ zhàng dān jǐ wǒ hào ma？
你的衣服是什么颜色？|What color is your dress?|nǐ de yī fu shì shén me yán sè？
卸货需要多久？|How long will the discharge of the cargo take?|xiè huò xū yào duō jiǔ？
来杯可口可乐，怎么样?|How about a coke?|lái bēi kě kǒu kě lè， zěn me yàng?
你拿到火车票了吗？|Have you got your train ticket?|nǐ ná dào huǒ chē piào le ma？
你一共欠我68.03英镑.|You owe me 68.03 altogether.|nǐ yí gòng qiàn wǒ68.03 yīng bàng.
再给你倒杯茶好吗？|Can I pour you another cup of tea?|zài jǐ nǐ dào bēi chá hào ma？
我用了一柄长柄汤杓。|I use a soup ladle.|wǒ yòng le yī bǐng zhǎng bǐng tāng sháo。
没关系。有什么事？|It doesn't matter. What's up?|mò guān xi。 yǒu shén me shì？
我想我已说清楚了?|I suppose I've made myself clear?|wǒ xiǎng wǒ yǐ shuō qīng chu le?
请帮我喂我的猫好吗？|Will you feed my cat for me?|qǐng bāng wǒ wèi wǒ de māo hào ma？
能给我一张纸吗？|Would you please give me a piece of paper?|néng jǐ wǒ yī zhāng zhǐ ma？
你刚才指的是什么？|What were you alluding to just now?|nǐ gāng cái zhǐ de shì shén me？
法官把囚犯释放了。|The judge discharged the prisoner.|fǎ guān bǎ qiú fàn shì fàng le。
狮子长着黄褐色棕毛。|A lion has tawny mane.|shī zi zhǎng zhuó huáng hè sè zōng máo。
你知道怎么挤牛奶吗？|Do you know how to milk a cow?|nǐ zhī dào zěn me jǐ niú nǎi ma？
目前生意萧条不振。|Business is slack just now.|mù qián shēng yi xiāo tiáo bù zhèn。
你能借给我五美元吗？|Can you lend me five dollars?|nǐ néng jiè jǐ wǒ wǔ měi yuán ma？
圆的轴线是其直径.|The axis of a circle is its diameter.|yuán de zhú xiàn shì qí zhí jìng.
你喜欢我的家常菜吗？|Did you enjoy my home cooking?|nǐ xǐ huan wǒ de jiā cháng cài ma？
她戴着带有貂皮的披肩|She wore her sable stole.|tā dài zhuó dài yǒu diāo pí de pī jiān
婴儿在8点钟出生。|The baby was born on 8 o'clock.|yīng ér zài8 diǎn zhōng chū shēng。
你猜我今天碰见谁了?|Guess who I bumped into today?|nǐ cāi wǒ jīn tiān pèng jiàn shéi le?
你知道你在做什么吗？|What do you think you are doing?|nǐ zhī dào nǐ zài zuò shén me ma？
我对农业一窍不通。|I know nothing about agriculture.|wǒ duì nóng yè yī qiào bù tōng。
看看你都做了些什么！|Just look at what you've done!|kàn kan nǐ dōu zuò le xiē shén me！
铜的化学符号是Cu。|The chemical symbol for copper is Cu.|tóng de huà xué fú hào shìCu。
这是一个令人沮丧的日子。|It's a gloomy day.|zhè shì yī gè lìng rén jǔ sàng de rì zi。
当心我给你眼睛一拳！|I'll smash you in the eye!|dāng xīn wǒ jǐ nǐ yǎn jīng yī quán！
你周末计划做什么？|What are your plans for the weekend?|nǐ zhōu mò jì huà zuò shén me？
希腊位于欧洲南部。|Greece is located in the south of Europe.|xī là wèi yú ōu zhōu nán bù。
希腊位于欧洲南部。|Greece is located in the south of Europe.|xī là wèi yú ōu zhōu nán bù。
别客气啦尽情地吃吧！|Don't stand on ceremony----dig in!|biè kè qì la jìn qíng de jí ba！
out？ 你经常锻炼身体吗？|Do you often work|out？  nǐ jīng cháng duàn liàn shēn tǐ ma？
我们要在中午前後走.|We're leaving round about midday.|wǒ men yào zài zhōng wǔ qián後 zǒu.
你能听到晨钟响吗?|Can you hear the morning bell ringing?|nǐ néng tīng dào chén zhōng xiǎng ma?
你知道谁打破了窗户？|Do you know who broke the window?|nǐ zhī dào shéi dǎ pò le chuāng hu？
我们必须征募更多士兵。|We must enlist more men.|wǒ men bì xū zhēng mù gèng duō shì bīng。
劳驾，能让我过去吗？|Excuse me, can I get past, please?|láo jià， néng ràng wǒ guò qu ma？
你能过来和我们作伴吗?|Can you come over and join us?|nǐ néng guò lai huò wǒ men zuò bàn ma?
如果他现在回来怎么办？|What if he comes back now?|rú guǒ tā xiàn zài huí lai zěn me bàn？
你以为你在跟谁说话？|Who do you think you're talking to?|nǐ yǐ wéi nǐ zài gēn shéi shuō huà？
你以为你在跟谁说话？|Who do you think you're talking to?|nǐ yǐ wéi nǐ zài gēn shéi shuō huà？
把德语课本翻到第28页。|Open your German readers at page 28.|bǎ dé yǔ kè běn fān dào dì28 yè。
我们到草坪上去喝茶吧。|Let's have tea on the lawn.|wǒ men dào cǎo píng shàng qù hè chá ba。
柠檬含丰富的维生素C。|Lemons are rich in vitamin C.|níng méng hán fēng fù de wéi shēng sùC。
我们为什么要怕他呢？|Why is it that we should be afraid of him?|wǒ men wèi shén me yào pà tā ne？
他精神抖擞准备出发.|He's full of sap and ready to start.|tā jīng shén dǒu sǒu zhǔn bèi chū fā.
有名的比萨塔是斜的.|The famous tower of Pisa leans at an angle.|yǒu míng de bǐ sà tǎ shì xié de.
你肯定你九点能来吗？|Are you sure you can come by at nine?|nǐ kěn dìng nǐ jiǔ diǎn néng lái ma？
是谁造出“quiz”这个词的？|Who coined the word quiz?|shì shéi zào chū“quiz” zhè gè cí de？
你记得表上的读数吗？|Do you remember the reading on the meter?|nǐ jì de biǎo shàng de dú shuò ma？
我们中午能到牛津吗?|D'you think we'll make Oxford by midday?|wǒ men zhōng wǔ néng dào niú jīn ma?
请你拼一下你的姓好吗?|Would you please spell your last name?|qǐng nǐ pīn yī xià nǐ de xìng hào ma?
小姐, 别对我这麽傲慢!|Don't get uppish with me, young lady!|xiǎo jie,  biè duì wǒ zhè mó ào màn!
你介意我明天请假吗？|Are you mind if I take tomorrow off?|nǐ jiè yì wǒ míng tiān qǐng jià ma？
我养了一些小鸡当宠物。|I breed some chicks for pets.|wǒ yǎng le yī xiē xiǎo jī dàng chǒng wù。
你拿我的毛皮大衣干什么?|What are you doing with my fur coat?|nǐ ná wǒ de máo pí dà yī gàn shén me?
咳嗽药中含有祛痰剂.|The cough medicine contains an expectorant.|ké sou yào zhòng hán yǒu qū tán jì.
别对你的父母这么没礼貌！|Don't be so rude to your parents!|biè duì nǐ de fù mǔ zhè me mò lǐ mào！
你想喝杯麦芽威士忌吗？|Would you like a cup of malt whisky?|nǐ xiǎng hè bēi mài yá wēi shì jì ma？
请你为我翻译一下好吗？|Would you please interpret for me?|qǐng nǐ wèi wǒ fān yì yī xià hào ma？
你对现代艺术有何看法？|What do you think of modern art?|nǐ duì xiàn dài yì shù yǒu hé kàn fǎ？
他们的观点不正确，是吗?|Their view isn't' right, is it?|tā men de guān diǎn bù zhèng què， shì ma?
他不愿做出任何承诺。|He would not commit himself in any way.|tā bù yuàn zuò chū rèn hé chéng nuò。
你们在舞会上玩得高兴吗？|How did you enjoy the ball?|nǐ men zài wǔ huì shàng wàn de gāo xìng ma？
这瓶咖啡净重180克。|The net weight of this jar of coffee is 180 grams.|zhè píng kā fēi jìng zhò1ng80 kè。
伦敦是值得参观的城市。|London is a city worth visiting.|lún dūn shì zhí de cān guān de chéng shì。
你们认为他是个好干部吗？|Do you think him a good cadre?|nǐ men rèn wéi tā shì gè hào gàn bù ma？
地球内部是什么样子？|What is it like in the bowels of the earth?|dì qiú nèi bù shì shén me yàng zi？
那个乞丐饿得晕倒了。|The beggar fell down in a swoon from sheer hunger.|nèi gè qǐ gài è de yùn dào le。
蜥蜴和蛇是冷血动物。|Lizards and snakes are cold-blooded animals.|xī yì huò shé shì lěng xuè dòng wù。
他跳远时扭伤了左踝。|He hurt his left ankle in the broad jump.|tā tiào yuǎn shí niǔ shāng le zuǒ huái。
我们什么时候会面合适？|What time is suitable for us to meet?|wǒ men shén me shí hou huì miàn hé shì？
怎么回事？你为什么哭？|What's the matter? Why are you crying?|zěn me huí shì？ nǐ wèi shén me kū？
你隔多久就在外面吃一次饭？|How often do you eat out?|nǐ gé duō jiǔ jiù zài wài miàn jí yī cì fàn？
你跟你的新上司处得如何？|How are you doing with your new boss?|nǐ gēn nǐ de xīn shàng si chù de rú hé？
他要了两杯酸橙苏打汽水。|He ordered two lime sodas.|tā yào le liǎng bēi suān chéng sū dǎ qì shuǐ。
那只猫被卡车碾死了。|The cat got run over by the lorry and squashed.|nà zhǐ māo bèi kǎ chē niǎn sǐ le。
谁掌握国家的最高权力?|Who holds sovereign power in the state?|shéi zhǎng wò guó jiā de zuì gāo quán lì?
请问, 我和苏珊说句话行吗?|Can I talk to Susan, please?|qǐng wèn,  wǒ huò sū shān shuō jù huà xìng ma?
闭上你的嘴, 没人要你说话!|Shut your mouth, nobody asked you!|bì shàng nǐ de zuǐ,  mò rén yào nǐ shuō huà!
你从哪里学会说英语的呢？|Where did you learn to speak English?|nǐ zòng nǎ li xué huì shuō Yīng yǔ de ne？
他拍了一部关于埃及的电影。|He made a film about Egypt.|tā pāi le yī bù guān yú Aī jí de diàn yǐng。
比萨在（佛罗伦萨的）西边.|Pisa is to the west (of Florence).|bǐ sà zài（ fú luó lún sà de） xī biān.
要是财源不断就好了！|If only one had an unlimited supply of money!|yào shì cái yuán bù duàn jiù hào le！
这家公司里谁是决策者？|Who is the policy maker in this company?|zhè jiā gōng sī lǐ shéi shì jué cè zhě？
杰弗里斯负责体育新闻组。|Jefferies is running the sports desk.|jié fú lǐ sī fù zé tǐ yù xīn wén zǔ。
他是我认识的最可憎的人。|He is the most obnoxious man I know.|tā shì wǒ rèn shi de zuì kě zēng de rén。
部队已（在广场上）集合.|The troops mustered (on the square).|bù duì yǐ（ zài guǎng chǎng shàng） jí hé.
去年的雨量是多少英寸？|How many inches of rain fell last year?|qù nián de yǔ liàng shì duō shao yīng cùn？
这台机器的制造商在哪？|Where is the manufacturer of the machine?|zhè tái jī qì de zhì zào shāng zài něi？
鳝鱼很长而且很难抓住。|Eels are long and difficult to catch.|shàn yú hěn zhǎng ér qiě hěn nàn zhuā zhù。
请把铅笔借给我用用好吗？|Would you please lend me your pencil?|qǐng bǎ qiān bǐ jiè jǐ wǒ yòng yòng hào ma？
老师要他下课後先别走.|The teacher told him to stay behind after class.|lǎo shī yào tā xià kè後 xiān biè zǒu.
水可以通过蒸馏而提纯。|Water can be made pure by distilling it.|shuǐ kě yǐ tōng guò zhēng liù ér tí chún。
那只猫大声地发出呼噜呼噜声。|The cat purred loudly.|nà zhǐ māo dà shēng de fā chū hū lū hū lū shēng。
你能抽出五分钟和我谈谈吗？|Can you spare me five minutes?|nǐ néng chōu chū wǔ fēn zhōng huò wǒ tán tán ma？
约翰靠他自己修理录音机。|John fixed the tape recorder by himself.|Yuē hàn kào tā zì jǐ xiū lǐ lù yīn jī。
目前的市场相当萧条。|The market is rather depressed at the moment.|mù qián de shì chǎng xiāng dāng xiāo tiáo。
那是我听到的最愚蠢的事！|That's the stupidest thing I've ever heard!|nà shì wǒ tīng dào de zuì yú chǔn de shì！
我们有 4 亿英镑的贸易顺差.|We have a trade surplus of 400 million.|wǒ men yǒu 4  yì yīng bàng de mào yì shùn chā.
这只夜莺夜里唱得很好听。|The nightingale sings sweetly at night.|zhè zhǐ yè yīng yè lǐ chàng de hěn hǎo tīng。
头大是不是表示智慧高？|Is a large head indicative of high intelligence?|tou dà shì bú shì biǎo shì zhì huì gāo？
她年纪那麽大活跃得不得了.|She is wonderfully active for her age.|tā nián jì nà mó dà huó yuè de bù dé liǎo.
他打了个榧子招呼服务员.|He snapped his fingers to attract the waiter.|tā dǎ le gè fěi zi zhāo hu fú wù yuán.
有咖喱的菜配米饭最妙.|Rice makes an excellent complement to a curry dish.|yǒu gā lí de cài pèi mǐ fàn zuì miào.
神父听取那个青年的忏悔。|The priest confessed the young man.|shén fù tīng qǔ nèi gè qīng nián de chàn huǐ。
那疾病多见於农村地区.|The disease occurs most frequently in rural areas.|nà jí bìng duō xiàn yū nóng cūn dì qū.
你听说过凯尔特人的传说吗？|Have you heard the Celtic lore?|nǐ tīng shuō guo kǎi ěr tè rén de chuán shuō ma？
我们的狗喜欢用嘴接饼乾.|Our dog likes catching biscuits in its mouth.|wǒ men de gǒu xǐ huan yòng zuǐ jiē bǐng qián.
约翰甚至在夏天也不出门。|John doesn't go out even in the summer.|Yuē hàn shèn zhì zài xià tiān yě bù chū mén。
你能抽出五分钟和我谈谈吗？|Can you spare me five minutes?|nǐ néng chōu chū wǔ fēn zhōng huò wǒ tán tán ma？
玛丽所有的钱是怎么赚到的？|How did Mary make all of her money?|Mǎ lì suǒ yǒu de qián shì zěn me zuàn dào de？
你看新栽的玫瑰长根了吗？|Do you think the new rosebush has taken root?|nǐ kàn xīn zāi de méi guī zhǎng gēn le ma？
我喜欢唱‘山楂树’这首歌。|I like to sing the song 'hawthorn'.|wǒ xǐ huan chàng‘ shān zhā shù’ zhè shǒu gē。
例如,伦敦是英国的首都。|For example, London is the capital of Britain.|lì rú, lún dūn shì Yīng guó de shǒu dū。
有司令部的任何命令吗？|Are their any orders coming from the headquarters?|yǒu sī lìng bù de rèn hé mìng lìng ma？
这所大学里有多少教室？|How many schoolrooms are there in this college?|zhè suǒ dà xué lǐ yǒu duō shao jiào shì？
炸弹把那座建筑夷为平地。|The bombs razed the building to the ground.|zhà dàn bǎ nà zuò jiàn zhù yí wèi píng dì。
这所大学里有多少教室？|How many schoolrooms are there in this college?|zhè suǒ dà xué lǐ yǒu duō shao jiào shì？
伦敦也被称为现代巴比伦。|London was also called the modern Babylon.|lún dūn yě bèi chēng wéi xiàn dài bā bì lún。
参观博物馆人们络绎不绝。|People went to visit the Museum on and on.|cān guān bó wù guǎn rén men luò yì bù jué。
他（用手巾）轻轻把脸拍乾.|He patted his face dry (with a towel).|tā（ yòng shǒu jīn） qīng qīng bǎ liǎn pāi qián.
你要把蔬菜煮熟还是生吃？|Do you want your vegetables cooked or raw?|nǐ yào bǎ shū cài zhǔ shóu hái shì shēng jí？
医院还有别的方法可以救他吗？|How else can the doctor save him?|yī yuàn hái yǒu bié de fāng fǎ kě yǐ jiù tā ma？
他们在公园里种了许多紫杉。|They planted many yews in the park.|tā men zài gōng yuán lǐ zhòng le xǔ duō zǐ shān。
这本新书名叫《爱情故事》。|The new book is entitled Love Story.|zhè běn xīn shū míng jiào《 ài qíng gù shì》。
你看了关于选举的新闻了吗？|Have you read the news about the election?|nǐ kàn le guān yú xuǎn jǔ de xīn wén le ma？
回去? 我宁可移居海外也不回去!|Go back there? I'd sooner emigrate!|huí qu?  wǒ nìng kě yí jū hǎi wài yě bù huí qu!
我真的必须参加这个会议吗？|Is it necessary for me to attend the meeting?|wǒ zhēn de bì xū cān jiā zhè gè huì yì ma？
所有的计算机都使用二进制吗？|Do all computers use binary system?|suǒ yǒu de jì suàn jī dōu shǐ yòng èr jìn zhì ma？
那位矮男孩是谁？那位是比尔。|Who is that short boy? That is Bill.|nà wèi ǎi nán hái shì shéi？ nà wèi shì Bǐ ěr。
她看上去像一个矜持的少女。|She looks like a very demure young lady.|tā kàn shàng qù xiàng yī gè jīn chí de shào nu:3。
画中的苹果显得多逼真啊！|What a realistic looking apple in the picture!|huà zhòng dì píng guǒ xiǎn de duō bī zhēn a！
这件传统服装是靛蓝色的。|This traditional costume is of indigo blue.|zhè jiàn chuán tǒng fú zhuāng shì diàn lán sè de。
一颗子弹嗖的一声从我耳边飞过。|A bullet whizzed past my ear.|yī kē zǐ dàn嗖 de yī shēng zòng wǒ ěr biān fēi guò。
